Date,Open,High,Low,Close,Adj Close,Volume
5/19/21,552.549988,566.210022,546.97998,563.460022,563.460022,39578400
5/20/21,575,588.849976,571.070007,586.780029,586.780029,30821100
5/21/21,596.109985,596.679993,580,580.880005,580.880005,26030600
5/24/21,581.599976,614.47998,573.650024,606.440002,606.440002,34558100
5/25/21,607.309998,613.98999,595.710022,604.690002,604.690002,28005900
5/26/21,607.559998,626.169983,601.5,619.130005,619.130005,28639300
5/27/21,620.23999,631.130005,616.210022,630.849976,630.849976,26370600
5/28/21,628.5,635.590027,622.380005,625.219971,625.219971,22737000
6/1/21,627.799988,633.799988,620.549988,623.900024,623.900024,18084900
6/2/21,620.130005,623.359985,599.140015,605.119995,605.119995,23302800
6/3/21,601.799988,604.549988,571.219971,572.840027,572.840027,30111900
6/4/21,579.710022,600.609985,577.200012,599.049988,599.049988,24036900
6/7/21,591.830017,610,582.880005,605.130005,605.130005,22543700
6/8/21,623.01001,623.090027,595.5,603.590027,603.590027,26053400
6/9/21,602.169983,611.789978,597.630005,598.780029,598.780029,16584600
6/10/21,603.880005,616.590027,600.5,610.119995,610.119995,23919600
6/11/21,610.22998,612.559998,601.52002,609.890015,609.890015,16205300
6/14/21,612.22998,625.48999,609.179993,617.690002,617.690002,20424000
6/15/21,616.690002,616.789978,598.22998,599.359985,599.359985,17764100
6/16/21,597.539978,608.5,593.5,604.869995,604.869995,22144100
6/17/21,601.890015,621.469971,601.340027,616.599976,616.599976,22701400
6/18/21,613.369995,628.349976,611.799988,623.309998,623.309998,24560900
6/21/21,624.47998,631.390015,608.880005,620.830017,620.830017,24812700
6/22/21,618.25,628.570007,615.5,623.710022,623.710022,19158900
6/23/21,632,657.200012,630.039978,656.570007,656.570007,31099200
6/24/21,674.98999,697.619995,667.609985,679.820007,679.820007,45982400
6/25/21,689.580017,693.809998,668.700012,671.869995,671.869995,32496700
6/28/21,671.640015,694.700012,670.320007,688.719971,688.719971,21628200
6/29/21,684.650024,687.51001,675.890015,680.76001,680.76001,17381300
6/30/21,679.77002,692.809998,678.140015,679.700012,679.700012,18924900
7/1/21,683.919983,687.98999,672.799988,677.919983,677.919983,18634500
7/2/21,678.97998,700,673.26001,678.900024,678.900024,27054500
7/6/21,681.710022,684,651.400024,659.580017,659.580017,23284500
7/7/21,664.27002,665.700012,638.320007,644.650024,644.650024,18792000
7/8/21,628.369995,654.429993,620.460022,652.809998,652.809998,22773300
7/9/21,653.179993,658.909973,644.690002,656.950012,656.950012,18140500
7/12/21,662.200012,687.23999,662.159973,685.700012,685.700012,25927000
7/13/21,686.320007,693.280029,666.299988,668.539978,668.539978,20966100
7/14/21,670.75,678.609985,652.840027,653.380005,653.380005,21641200
7/15/21,658.390015,666.140015,637.880005,650.599976,650.599976,20209600
7/16/21,654.679993,656.700012,642.200012,644.219971,644.219971,16371000
7/19/21,629.890015,647.200012,621.289978,646.219971,646.219971,21297100
7/20/21,651.98999,662.390015,640.5,660.5,660.5,15487100
7/21/21,659.609985,664.859985,650.289978,655.289978,655.289978,13953300
7/22/21,656.440002,662.169983,644.599976,649.26001,649.26001,15105700
7/23/21,646.359985,648.799988,637.299988,643.380005,643.380005,14604900
7/26/21,650.969971,668.200012,647.109985,657.619995,657.619995,25336600
7/27/21,663.400024,666.5,627.23999,644.780029,644.780029,32813300
7/28/21,647,654.969971,639.400024,646.97998,646.97998,16006600
7/29/21,649.789978,683.690002,648.799988,677.349976,677.349976,30394600
7/30/21,671.76001,697.530029,669,687.200012,687.200012,29600500
8/2/21,700,726.940002,698.400024,709.669983,709.669983,33615800
8/3/21,719,722.650024,701.01001,709.73999,709.73999,21620300
8/4/21,711,724.900024,708.929993,710.919983,710.919983,17002600
8/5/21,716,720.950012,711.409973,714.630005,714.630005,12919600
8/6/21,711.900024,716.330017,697.630005,699.099976,699.099976,15576200
8/9/21,710.169983,719.030029,705.130005,713.76001,713.76001,14715300
8/10/21,713.98999,716.590027,701.880005,709.98999,709.98999,13432300
8/11/21,712.710022,715.179993,704.210022,707.820007,707.820007,9800600
8/12/21,706.340027,722.799988,699.400024,722.25,722.25,17459100
8/13/21,723.710022,729.900024,714.340027,717.169983,717.169983,16698900
8/16/21,705.070007,709.5,676.400024,686.169983,686.169983,22677400
8/17/21,672.659973,674.580017,648.840027,665.710022,665.710022,23721300
8/18/21,669.75,695.77002,669.349976,688.98999,688.98999,20349400
8/19/21,678.210022,686.549988,667.590027,673.469971,673.469971,14313500
8/20/21,682.849976,692.130005,673.700012,680.26001,680.26001,14781800
8/23/21,685.440002,712.130005,680.75,706.299988,706.299988,20264900
8/24/21,710.679993,715.219971,702.640015,708.48999,708.48999,13083100
8/25/21,707.030029,716.969971,704,711.200012,711.200012,12645600
8/26/21,708.309998,715.400024,697.619995,701.159973,701.159973,13214300
8/27/21,705,715,702.099976,711.919983,711.919983,13762100
8/30/21,714.719971,731,712.72998,730.909973,730.909973,18604200
8/31/21,733,740.390015,726.440002,735.719971,735.719971,20855400
9/1/21,734.080017,741.98999,731.27002,734.090027,734.090027,13204300
9/2/21,734.5,740.969971,730.539978,732.390015,732.390015,12777300
9/3/21,732.25,734,724.200012,733.570007,733.570007,15246100
9/7/21,740,760.200012,739.26001,752.919983,752.919983,20039800
9/8/21,761.580017,764.450012,740.77002,753.869995,753.869995,18793000
9/9/21,753.409973,762.099976,751.630005,754.859985,754.859985,14077700
9/10/21,759.599976,762.609985,734.52002,736.27002,736.27002,15114300
9/13/21,740.210022,744.780029,708.849976,743,743,22952500
9/14/21,742.570007,754.469971,736.400024,744.48999,744.48999,18524900
9/15/21,745,756.859985,738.359985,755.830017,755.830017,15357700
9/16/21,752.830017,758.909973,747.609985,756.98999,756.98999,13923400
9/17/21,757.150024,761.039978,750,759.48999,759.48999,28204200
9/20/21,734.559998,742,718.619995,730.169983,730.169983,24757700
9/21/21,734.789978,744.73999,730.440002,739.380005,739.380005,16330700
9/22/21,743.530029,753.669983,739.119995,751.940002,751.940002,15126300
9/23/21,755,758.200012,747.919983,753.640015,753.640015,11947500
9/24/21,745.890015,774.799988,744.559998,774.390015,774.390015,21373000
9/27/21,773.119995,799,769.309998,791.359985,791.359985,28070700
9/28/21,787.200012,795.640015,766.179993,777.559998,777.559998,25381400
9/29/21,779.799988,793.5,770.679993,781.309998,781.309998,20942900
9/30/21,781,789.130005,775,775.47998,775.47998,17956000
10/1/21,778.400024,780.780029,763.590027,775.219971,775.219971,17031400
10/4/21,796.5,806.969971,776.119995,781.530029,781.530029,30483300
10/5/21,784.799988,797.309998,774.200012,780.590027,780.590027,18432600
10/6/21,776.200012,786.659973,773.219971,782.75,782.75,14632800
10/7/21,785.460022,805,783.380005,793.609985,793.609985,19195800
10/8/21,796.210022,796.380005,780.909973,785.48999,785.48999,16711100
10/11/21,787.650024,801.23999,785.5,791.940002,791.940002,14200300
10/12/21,800.929993,812.320007,796.570007,805.719971,805.719971,22020000
10/13/21,810.469971,815.409973,805.780029,811.080017,811.080017,14120100
10/14/21,815.48999,820.25,813.349976,818.320007,818.320007,12247200
10/15/21,823.73999,843.210022,822.349976,843.030029,843.030029,18818000
10/18/21,851.789978,875.26001,851.469971,870.109985,870.109985,24207200
10/19/21,877.530029,877.950012,862.51001,864.27002,864.27002,17381100
10/20/21,865.349976,869.48999,857.380005,865.799988,865.799988,14032100
10/21/21,856,900,855.5,894,894,31481500
10/22/21,895.5,910,890.960022,909.679993,909.679993,22880800
10/25/21,950.530029,1045.02002,944.200012,1024.859985,1024.859985,62852100
10/26/21,1024.689941,1094.939941,1001.440002,1018.429993,1018.429993,62415000
10/27/21,1039.660034,1070.880005,1030.780029,1037.859985,1037.859985,38526500
10/28/21,1068.310059,1081,1054.199951,1077.040039,1077.040039,27213200
10/29/21,1081.859985,1115.209961,1073.209961,1114,1114,29918400
11/1/21,1145,1209.75,1118.660034,1208.589966,1208.589966,56048700
11/2/21,1159.359985,1208.589966,1146,1172,1172,42737800
11/3/21,1177.329956,1215.390015,1152.619995,1213.859985,1213.859985,34628500
11/4/21,1234.410034,1243.48999,1217,1229.910034,1229.910034,25397400
11/5/21,1228,1239.869995,1208,1222.089966,1222.089966,21579900
11/8/21,1149.790039,1197,1133,1162.939941,1162.939941,33445700
11/9/21,1173.599976,1174.5,1011.52002,1023.5,1023.5,59105800
11/10/21,1010.409973,1078.099976,987.309998,1067.949951,1067.949951,42802700
11/11/21,1102.77002,1104.969971,1054.680054,1063.51001,1063.51001,22396600
11/12/21,1047.5,1054.5,1019.200012,1033.420044,1033.420044,25182300
11/15/21,1017.630005,1031.97998,978.599976,1013.390015,1013.390015,34775600
11/16/21,1003.309998,1057.199951,1002.179993,1054.72998,1054.72998,26542400
